Experiment	Pool	Timepoint	Platform	Medium
GC1001700	IVH_SRV_ID	TEVII	D21	Agarose	C8
GC1001701	IVH_SRV_ID	TEVII	D21	Agarose	C8
GC1001702	IVH_SRV_ID	TEVII	D21	Agarose	C8
GC1001709	IVH_SRV_ID	TEVII	5h	AggreWell800	C8mod
GC1001710	IVH_SRV_ID	TEVII	5h	AggreWell800	C8mod
GC1001711	IVH_SRV_ID	TEVII	5h	AggreWell800	C8mod
GC1001712	IVH_SRV_ID	TEVII	5h	AggreWell800	C8mod
GC1003617	IVH_SRV_ID	TEVII	D7	AggreWell800	C8mod
GC1003618	IVH_SRV_ID	TEVII	D7	AggreWell800	C8mod
GC1003619	IVH_SRV_ID	TEVII	D7	AggreWell800	C8mod
GC1003620	IVH_SRV_ID	TEVII	D7	AggreWell800	C8mod
GC1003621	IVH_SRV_ID	TEVII	D14	AggreWell800	C8mod
GC1003622	IVH_SRV_ID	TEVII	D14	AggreWell800	C8mod
GC1003623	IVH_SRV_ID	TEVII	D14	AggreWell800	C8mod
GC1003624	IVH_SRV_ID	TEVII	D14	AggreWell800	C8mod
GC1003625	IVH_SRV_ID	TEVII	D21	AggreWell800	C8mod
GC1003626	IVH_SRV_ID	TEVII	D21	AggreWell800	C8mod
GC1003627	IVH_SRV_ID	TEVII	D21	AggreWell800	C8mod
GC1003628	IVH_SRV_ID	TEVII	D21	AggreWell800	C8mod
GC1003633	TH_GNH	TEVII	5h	AggreWell800	C8
GC1003634	TH_GNH	TEVII	5h	AggreWell800	C8
GC1003635	TH_GNH	TEVII	5h	AggreWell800	C8
GC1003636	TH_GNH	TEVII	5h	AggreWell800	C8
GC1003637	TH_GNH	TEVII	D7	AggreWell800	C8
GC1003638	TH_GNH	TEVII	D7	AggreWell800	C8
GC1003639	TH_GNH	TEVII	D7	AggreWell800	C8
GC1003640	TH_GNH	TEVII	D7	AggreWell800	C8
GC1003641	TH_GNH	TEVII	D14	AggreWell800	C8
GC1003642	TH_GNH	TEVII	D14	AggreWell800	C8
GC1003643	TH_GNH	TEVII	D14	AggreWell800	C8
GC1003644	TH_GNH	TEVII	D14	AggreWell800	C8
GC1003645	TH_GNH	TEVII	D21	AggreWell800	C8
GC1003646	TH_GNH	TEVII	D21	AggreWell800	C8
GC1003647	TH_GNH	TEVII	D21	AggreWell800	C8
GC1003648	TH_GNH	TEVII	D21	AggreWell800	C8
